,Players,Name,Team
103,LJ,Joshua Darmansyah,
104,Lelepinkan,Melissa Hamzah,RRQ Mika
105,Lemon,Muhammad Ikhsan,RRQ Hoshi
106,LeoMurphy,Julian Murphy,Alter Ego
107,Liam,William Setiawan,
108,Lipii,Livia Lemmuela Putri,EVOS Lynx
109,Luke,Luke Valentinus,Geek Fam ID
110,Luminaire,Ihsan Besari Kusudana,
111,Lzuraa,Muhammad Arif,Geek Fam ID
112,MAXXX,Maxwell Alessandro,Bigetron Alpha
113,Maipan,Irfan Yusuf,
114,Manskuy,Firmansyah,Geek Fam ID Jr
115,Marsha,Steven Kurniawan,
116,Marz,Adrian Damari,Alter Ego X
117,Matt,Matthew Geraldo,Bigetron Beta
118,Meyden,Melinda Rohita,Bigetron Era
119,MidGod,Agung Tri Wibowo,
120,Moreno,Marcel Juan Moreno Sinulingga,Bigetron Alpha
121,Namira,Ira Kusnindi,MBR Delphyne
122,Nino,Syauki Fauzan S,Alter Ego
123,Oura,Eko Julianto,
124,Pai,Rafly Alvareza Sudrajat,Alter Ego
125,Pendragon,Sebastian Arthur,EVOS Legends
126,Pica,Alexandra Jessica,EVOS Lynx
127,Pou,Salsabila Mia,
128,Pranata,Kristian Wira Pranata,RRQ Sena
129,Psychooo,Teguh Imam Firdaus,RRQ Sena
130,Quinnie,Sienny Phangestien,RRQ Mika
131,R E K T,Gustian,
132,R a i z e L,Wahyu Saputra,Alter Ego X
133,R7,Rivaldi Fatah,RRQ Hoshi
134,RENBO,Deven Markos,Bigetron Alpha
135,Rasy,Rasya Arga Wisita,Alter Ego X
136,RenV,Rendy Kurniawan,
137,Renesmee,Shaddam Evan,Geek Fam ID
138,Rexlona,Prayoga Naufal,Alter Ego
139,Rexxy,Fahmi Adam Alamsyah,
140,Rezim,Kaesang Pangarep,
141,Rich,Avin,
142,Rinazmi,Azmi Naufal Ahmad,Geng Kapak
143,Rmitchi,Imanuell Christian,
144,Rupture,Advent Valma,Geek Fam ID Jr
145,S A N Z,Gilang,ONIC Esports
146,SIR ft Lans,Moch Yasier Aliarahman,
147,Saken,Dicky Cahyana,Bigetron Alpha
148,SamoHt,Thomas Obadja,ONIC Esports
149,Saykots,Rizqi Damank,EVOS Legends
150,Schwann,Bima Putra,Geek Fam ID Jr
151,Skylar,Schevenko David Tendean,RRQ Hoshi
152,Sutsujin,Arthur Sunarkho,EVOS Legends
153,SwayLow,Attanasius David Halomoan Sihaloho,Rebellion Zion
154,Taka,Fadhil Asra,
155,Tazz DD,Darrel Jovanco Wijaya,EVOS Legends
156,Thall,Talitha Ambar Maheswari,EVOS Lynx
157,Tuturu,Diky,
158,Udil,Muhammad Julian Ardiansyah,Alter Ego
159,VALL,Thomas Galileo,Rebellion Zion
160,VIOR,Viorenita Sutanto,
161,VYN,Calvin,RRQ Hoshi
162,VaanStrong,Vincentsius Ivan Adrianto,EVOS Icon
163,Valanyr,Isnaini Nurfajri Machdita,MBR Delphyne
164,Vanss,Arif Yudha Alfiansyah,Pabz Esports
165,Variety,Michael Giovanni Tjandra,
166,Violence,Riko,RRQ Sena
167,Violet,Fajria Noviana,EVOS Lynx
168,Vival,Viorelle Valencia,Bigetron Era
169,Vivi,Vivi Novica,RRQ Mika
170,Vivian,Vivi Indrawati,Bigetron Era
171,Wannn,Muhammad Ridwan,
172,Warlord,Rizky Agustian,RRQ Sena
173,Watt,Supriadi Dwi Putra,Geng Kapak
174,Widjanarko,Bernard Ditya Wiliardi Widjanarko,Rebellion Zion
175,WyvorZ,Hartawan Muliadi,
176,XINNN,Yesaya Armando Wowiling,RRQ Hoshi
177,Xorizo,Gusti Made Indra Dwipayana,Bigetron Alpha
178,YAM,William,
179,YoR,Vicky Vendi,
180,god1va,Erico,AURA Fire
181,J4ZBIN,Sengathit Phounsavat,Niightmare Esports
182,Khammy,Khampaseuth Hanxana,Niightmare Esports
183,Lexxyboiiz,Mongkonethong Sinbandit,Niightmare Esports
184,Nanoship,Anousak Aphaiyasah,Niightmare Esports
185,Sosoul,Phonesana Inthavongxay,Niightmare Esports
186,2ez4Jepv,Mohamad Haqqani Jaffar,
187,4Meyz,Wan Usman,TODAK
188,Aim,Muhammad Aiman Bin Mohamad Abas,Orange Esports
189,Aj,Muhammad Azri Bin Jamaludin,Team Caracal
190,Ajiq,Muhammad Amirul Raziq,
191,Artz,Muhammad Nazmie Bin Khalid,Geek Fam
192,Born,Mohammad Harith,Orange Esports
193,Box,Hadiazwan Bin Rosli,Team SMG
194,Capt Sha,Norshahidah Zulkifli,
195,Chibi,Muhammad Nazhan,HomeBois
196,CikuGais,Muhammad Danial bin Mohamad Fuad,TODAK
197,D Ace,Muhammad Hazim Bin Zulkifli,Team Caracal
198,Dominus,Nik Aqieff Bin Nik Muhammed Muhyyiddin,Geek Fam
199,Eavy,Danial Arif Bin Mohd Judin,Team Caracal
200,Eshaa,Muhammad Yaacob Esha Halizan,
201,Evilx,Muhd Nurhafis Bin Jamiran,
202,Feekz,Amirul Shafiq Bin Mohd Amir,
203,Fredo,Ahmad Fuad Razali,
204,Garyy,Muhammad Syafizan,Team HAQ
205,Gripex,Andi Alfian bin Firman,
206,Hangus,Muhammad Rifhan bin Mohd Rizal,
207,Hawkk,,RSG Malaysia
208,Hyhy,Muhammad Redzuwan Bin Rosli,RSG Malaysia
209,Izanami,Mohammad Irwandy Lim,RSG Malaysia
210,KaizerJin,Izme Haqeem Bin Hamsjid,Team Caracal
211,Lacid,Fiqri Atiq Bin Mohd Fauzi Lai,
212,Leixia,Ahmad Ali Huzaifi Bin Abdullah Hazawi,RSG Malaysia
213,LinkEzaa,Mohd Hadim,RSG Malaysia
214,Logan,Abdul Wandi Bin Abdul Kadir,Team Caracal
215,Lolealz,Ealtond Rayner,RSG Malaysia
216,Lolla,Mohamad Nilzaihan,Team HAQ
217,Maima,Muhammad Azam Izzuddin Bin Mohd Amin,Team Caracal
218,Mal,Muhammad Akmal Bin Rozali,RED Esports MY
219,Mann,Aiman Zairie Bin Anuar,Team HAQ
220,Minn,Aimin Zairie Bin Anuar,Team HAQ
221,Mom,Adib Rusydi Bin Ahmad Tarmizi,RED Esports MY
222,Momo,Idreen Bin Abdul Jamal,TODAK
223,Moon,Zikry Bin Shamsuddin,TODAK
224,Moyy,Mohamad Farhan Wakiman,TODAK Apprentice
225,Myzer,Muhammad Hakim Mikha,
226,Neo,Muhammad Azam Bin Ahmad,Orange Esports
227,Nuar,Raja Anwar,Team SMG
228,OzoraVeki,Poon Kok Sing,
229,Panda,Poh Chun Wai,Team HAQ
230,Penjahat,Sofian bin Sultan,
231,RIPPO,Muhammad Arif Bin Abdul Halim,Bigetron Alpha
232,Rennnnqt-,Muhammad Firdaus Aniza,RED Esports MY
233,Rival,Muhamad Alif Akmal bin Kamarulzaman,TODAK
234,Rumpel,Tai Ming Hong,
235,Rynn,Muhammad Firdaus,
236,Saiyajinn,Mohammad Aiqal Bin Amran,Geek Fam
237,Sasa,Lu Khai Bean,Team SMG
238,Scott,Muhammad Hazeem,
239,Sepat,Muhammad Irfan bin Aujang,HomeBois
240,Silo,Akmal Afi Uzair,
241,Smooth,Aeliff Adam Md Ariff,Team SMG
242,Soloz,Mohd Faris bin Zakaria,
243,Syf,Syed Naufal,Team SMG
244,Syno,Mohamad Amir Afdhal Bin Ruzlan,Team Caracal
245,Valenz,Luk Jun Yip,Orange Esports
246,Vins,Muhammad Nazreen bin Nasir,HomeBois
247,Wynn,Muhammad Fahmi Ikhwan,Team Caracal
248,Xorn,Mohammad Zul Hisham Mohd Noor,Team SMG
249,XpDEA,Mohamad Harith Aiman,HomeBois
250,Xray,Mohd Aiman Idris,Geek Fam
251,Yums,Muhammad Qayyum Ariffin Bin Mohd Suhairi,TODAK
252,ZAIMSEMPOI,Muhammad Zaim,Team SMG
253,Zacus,Ahmad Zaki Bin Ibrahim,HomeBois
254,Zaraki,Jamil Bin Nurolla,Team Caracal
255,Zee,Rizkihidayat Bin Abd Mutalib,
256,ACE,Nainglin Swe,AI Esports
257,Ardam,Phone Myint Kyi,
258,Dee,Min Kyaw Khaung,AI Esports
259,ICE ICE,Waiyan Myint,Burmese Ghouls
260,JustiN,Pyae Sone Khant,Falcon Esports
261,Kenn,Kenneth Hein,Falcon Esports
262,Kid,Hein Min Thu,AI Esports
263,Krystal Theingi,Krystal Theingi,
264,May Be,Nyi Nyi Thaw,AI Esports
265,Naomi,Min Ko Ko,Falcon Esports
266,Peka,Thaw Zin Htet,Fenix Esports
267,Ruby DD,Swan Htet Aung,Falcon Esports
268,Shinshinkick,Phyo Kyaw Hlaing,
269,Silent,Pyae Sone,Falcon Esports
270,yellowflash,Hein Min Khant,Falcon Esports
271,1rrad,John Tuazon,RSG Philippines
272,3MarTzy,Frediemar Serafico,ECHO
273,666,Matthew Mandilag,
274,Aaronqt,Aaron Lim,
275,Allidap,Romiere Padilla,
276,Aqua,Arvie C. Antonio,RSG Philippines
277,Baloyskie,Allen Jedric O. Baloy,Geek Fam ID
278,Basic,Peter Bryce Lozano,The Valley
279,Beemo,Paul Ian Sergio,
280,Bennyqt,Benedict Gonzales,ECHO
281,Benthings,Ben Seloe Dizon Maglaque,TNC Pro Team
282,CADENZA,Kenneth Palejo Castro,
283,Ch4knu,Joshua Mangilog,Omega Esports
284,Choox,Edgar Dumali,
285,Coco,Ralph Mico Sampang,Bren Esports
286,Dee,Marc Danielle San Luis,
287,Demonkite,Jonard Cedrix Caranto,RSG Philippines
288,Der,Landher San Gabriel,ONIC Philippines
289,Dex Star,Dexter Louise Cruz Alaba,Blacklist International
290,Dian,Dian Felix Cruz,Omega Esports
291,Dlar,Gerald Trinchera,EVOS Icon
292,Dogie,Naser Ignacio Mollazehi,Nexplay EVOS
293,Donut,Mariusz Villamero Tan,Nexplay EVOS
294,Dysania,Mark Exequiel Chua Cruz,
295,E2MAX,Patrick James Caidic,Omega Esports
296,EDWARD,Edward Jay Dapadap,Blacklist International
297,EMANN,Eman Sangco,RSG Philippines
298,ESON,Mark Jayson Gerardo,Blacklist International
299,Elpizo,Emanuel Cervantes Candelaria,Nexplay EVOS
300,Escalera,Jomearie Delos Santos,TNC Pro Team
301,Exort,Dexter Martinez,RSG Philippines
302,FlapTzy,David Charles Canon,Bren Esports
303,Fuzaken,Cedric Pasusani,
304,H2wo,John Paul Salonga,Nexplay EVOS
305,Hadji,Salic Alauya Imam,Blacklist International
306,Hatred,Jaylord Gonzales,Team SMG
307,Heath,Earvin John Esperanza,RSG Philippines
308,Hesa,Jhonwin Dela Merced Vergara,Burn x Team Flash
309,Imbadeejay,Douglas Joseph Astibe II,LAZY Esports Pro
310,Iy4knu,Joshwell Christian Manaog,Positive Gaming
311,Janaaqt,Jaymark Aaron Thomas Lazaro,Geek Fam ID
312,Jaymeister,Jay Torculas,
313,Jaypee,Jaypee Gonzales Dela Cruz,ECHO
314,JeffQT4ever,Jeff Frankin Anaya,
315,Jeymz,James Gloria,Nexplay EVOS
316,Jowm,Jomari Pingol,Bren Esports
317,Joy Boy,Vincent De Guzman,Bren Esports
318,KEVIER,Kent Xavier Lopez,Blacklist International
319,Kairi,Kairi Ygnacio Rayosdelsol,ONIC Esports
320,KarlTzy,Karl Gabriel Nepomuceno,ECHO
321,Kekedoot,Jefferdson Mogol,ONIC Philippines
322,Kelra,Grant Duane Pillas,Omega Esports
323,Kenji,Kenneth Jiane Villa,RSG Philippines
324,Kielvj,Kiel VJ Cruzem,Omega Esports
325,Killuash,Ashley Marco Cruz,
326,KingSalman,Salman Macarambon,TNC Pro Team
327,Kousei,Clarense Jay G. Camilo,RSG Philippines
328,Kramm,Mark Genzon Sojero Rusiana,TNC Pro Team
329,KurtTzy,Jankurt Russel Matira,ECHO
330,KyleTzy,Michael Angelo Sayson,Bren Esports
331,Kzen,Ken Louie Bermudes Pile,Nexplay EVOS
332,LanceCy,Lance Cunanan,Nexplay EVOS
333,Light,Dylan Aaron Catipon,RSG Philippines
334,Lord Malikk,Mujahid Usman Malik,
335,Lusty,Allan Castromayor Jr.,ZOL Esports
336,MP the King,Michael Medrocillo Endino,Burn x Team Flash
337,Markyyyyy,Mark Christian Capacio,Bigetron Alpha
338,Master the Basics,Aniel Jiandani,Blacklist International
339,Micophobia,Karl Mico Tarala Quitlong,Nexplay EVOS
340,Mikko,Mico Tabangay,Omega Esports
341,Nathzz,Nathanael Estrologo,RSG Philippines
342,Nets,Kenneth Barro,ONIC Philippines
343,OHEB,Kiel Calvin Q. Soriano,Blacklist International
344,OhMyV33NUS,Jonmar Villaluna,Blacklist International
345,Outplayed,Jhonville Borres Villar,ECHO
346,Owgwen,Rowgien Stimpson Unigo,Bren Esports
347,Pandora,Vincent Unigo,Bren Esports
348,Pein,Renz Carlo Reyes,
349,Perkz,John Sumawan,RSG Philippines
350,Pheww,Angelo Kyle Arcangel,Bren Esports
351,RENEJAY,Renejay Barcase,Nexplay EVOS
352,Rafflesia,Christian Fajura,
353,Raizen,Dean Christian Sumagui,Omega Esports
354,Rapidoot,Ralph Adrales,ONIC Philippines
355,Renzio,Renz Errol Salonga Cadua,Omega Esports
356,Ribo,Carlito Ribo Jr.,ZOL Esports
357,Rk3,Rion Kudo,
358,Ryota,Nowee Cabailo,ONIC Philippines
359,S4gitnu,Jeff Lenjesson S.Subang,ZOL Esports
360,SDzyz,Shemaiah Daniel Chu,TNC Pro Team
361,SUPER MARCO,Marco Stephen Requitano,Bren Esports
362,Sanford,Sanford Marin Vinuya,ECHO
363,Sanji,Alston Pabico,ECHO
364,Saxa,Kenneth Fedelin,Bren Esports
365,Sensui,Stephen Castillo,ONIC Philippines
366,Stowm,Dale Rolan Vidor,Bren Esports
367,Super Frince,Frince Miguel Ramirez,ONIC Philippines
368,Tets,Lester Cabalo Santos,
369,Toshi,Adrian Bacallo,
370,URESHIII,Rainiel Jhim Agustin Logronio,
371,Wise,Danerie James Del Rosario,Blacklist International
372,Wrecker,Elyson Edouard Caranza,RSG Philippines
373,YAWI,Tristan Cabrea,ECHO
374,Yakou,John Erwin Magno,
375,Yasuwo,Robee Bryan Pormocille,TNC Pro Team
376,YellyHaze,Jeniel Bata-Anon,Nexplay EVOS
377,Yuji,Yuji Aizawa,
378,Z4pnu,Billy Jazha Alfonso,Omega Esports
379,ZIA,,Ackerman
380,Zaida,Justine Sadia Palma,ECHO
381,505,Amos Ng Jin Rui,RSG Singapore
382,ALPHA V9,Oh Tian Boon,Team Flash
383,Ace,Tan Zheng Wei,
384,Adammir,Adam Chong,Slate Esports
385,Aeon,Ong Wei Sheng,Team Flash
386,Apeach,Ng Jun Hong,Team Flash
387,Aubi,Ngain Week Kiat,
388,Azura X,Andy Lau Dong Xuan,Zion Esports
389,BRAYYY,Brayden Teo,RSG Singapore
390,Babycakes,Jovan Ong Jin Heng,RSG Singapore
391,CS,Yong Seng You Chester,RSG Singapore
392,Diablo,Yeo Wee Lun,RSG Singapore
393,FMM,Ng Bi De,Slate Esports
394,Fenrir,Nashrudin bin Kamsani,
395,Fossa,Javon Ham Kao Yee,Stellark SG
396,Girl,Long Shih Kiat,Zion Esports
397,JPL,Akihiro Furusawa,Slate Esports
398,Jae,Jaeden Tan,Slate Esports
399,Jasonn,Jason Lai Yan Jun,RSG Singapore
400,Joxxx,Goh Skye,Team SMG SG
401,Kayzeepi,Eugene Kong,Team Flash
402,KeN,Kenneth Lim Zi Hao,
403,Kid,Rufus Goh Zhi En,
404,Kolia,Ng Shao Ming,
405,Lolsie,Bellamy Yeov,RSG Singapore
406,Ly4ly4ly4,Lim Yang,Revival
407,Marc,Marcus Soh Ming,
408,MikuMikuMii,Leong Kai Xiang,
409,Mr.Vi,Victor Lin Jin Shun,
410,Nick,Du Jing Yun Nicklaus,
411,Oh Deer Bambi,Robert Boon Wei Xing,Stellark SG
412,Remaniscent,Remas Ker Zhen Hong,Team Flash
413,Roy.,Royven Tan,RSG Singapore
414,Sana,Ming Brandon,RSG Singapore
415,Seilah,Basil Lim Dao Ze,Slate Esports
416,Smokey,Roy Chua,
417,Soul,Stefan Chong Ru Chyi,
418,Swan,Teo Ting Swan,
419,Swoop,Lo Liang Qing,
420,SynC,Ho Ee Hong,Stellark SG
421,Teckawei,Calvin Ong,Team Flash
422,WQxD,Soh Wei Quan,
423,Xian,Lim Zu Xian,
424,Broly,Khuất Đình Tùng,
425,Hide,Đinh Quang Nguyên,
426,Lucky,Phạm Văn Minh,
427,T-Max,Nguyễn Hồng Thanh,
428,Ti,Nguyễn Minh Hiếu,
